,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
121,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)",47999.0,i5,LENOVO,8GB,4.1,512GB,Windows 11,Grey,46.0,15.6
122,HP Omen,138990.0,i7,HP,24GB,4.3,1TB,Windows 11,Black,15.0,16.0
123,Dell 15,56990.0,i5,DELL,16GB,3.7,512GB,Windows 11,Grey,21.0,15.6
124,ASUS Vivobook Go 14,34990.0,Ryzen 3,ASUS,8GB,3.5,512GB,Windows 11,Silver,20.0,
125,Lenovo Yoga Slim 7,84990.0,,LENOVO,16GB,4.3,512GB,Windows 11,Grey,25.0,14.0
126,Lenovo LOQ,130990.0,i7,LENOVO,16GB,4.0,1TB,Windows 11,Grey,19.0,15.6
127,"acer Aspire 3 Intel Pentium N100 Processor Laptop with 35.56 cm (14"") Full HD IPS Display (16 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/WiFi 6/38Wh) A324-31",34990.0,,ACER,16GB,4.2,512GB,Windows 11,Gray,5.0,56.0
128,"DELL 14 (Renewed) Intel Core 3 14th Gen 100U - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",37650.0,,DELL,8GB,,512GB,Windows 11,Blue,36.0,14.0
129,HP Victus,69999.0,Ryzen 7,HP,16GB,,1TB,Windows 11,Blue,15.0,15.6
130,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.3,8GB,,Gray,34.0,
131,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
132,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,,
133,HP 15,56990.0,AMD Ryzen 7 7735HS,HP,16GB,4.0,512GB,Windows 11,Silver,,
134,"EBook 11.6"" HD Laptop",10990.0,,EBOOK,4GB,3.8,4GB,Windows 11,Black,,
135,HP 15,41990.0,Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
